City,Country,Date,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed
kalmunai,AR,1627324892,42.85,-51.6226,-69.2181,75,75,19.57
kalmunai,RU,1627325159,53.35,58.1286,68.5944,77,68,4.72
kalmunai,RU,1627325159,62.02,53.9353,139.9242,93,100,3.47
kalmunai,CK,1627325159,75.25,-21.2078,-159.775,88,40,8.05
kalmunai,AU,1627325160,55.09,-33.65,115.3333,68,100,34.2
kalmunai,GL,1627325160,66.42,60.9167,-46.05,54,17,3.74
kalmunai,MU,1627325160,66.58,-20.5167,57.5167,100,75,10.36
kalmunai,US,1627325160,77.29,37.5741,-122.3794,76,75,5.01
kalmunai,US,1627325161,97.93,32.2207,-98.2023,42,1,0.0
kalmunai,AU,1627325161,52.75,-42.7826,147.0587,81,100,1.01
kalmunai,US,1627324899,44.62,71.2906,-156.7887,99,90,9.22
kalmunai,CA,1627325162,82.58,50.2536,-96.0612,30,100,6.08
kalmunai,AU,1627325162,53.11,-42.8794,147.3294,86,90,1.99
kalmunai,NZ,1627325162,41.49,-46.1927,168.8643,98,66,2.86
kalmunai,GL,1627325163,51.96,65.6145,-37.6368,84,43,3.51
kalmunai,US,1627324967,80.96,20.8947,-156.47,79,1,24.16
kalmunai,US,1627325164,82.72,22.0752,-159.319,79,40,4.0
kalmunai,GL,1627325165,44.94,77.484,-69.3632,54,100,8.97
kalmunai,US,1627324995,84.29,42.097,-79.2353,47,20,4.0
kalmunai,PF,1627325165,78.04,-9.8,-139.0333,68,4,25.1
kalmunai,RU,1627325165,52.07,60.05,69.9,69,69,4.36
kalmunai,BA,1627325166,73.74,44.8169,15.8708,54,14,6.46
kalmunai,RU,1627325166,60.37,61.8099,36.5345,84,5,3.65
kalmunai,BR,1627325166,83.39,-2.9248,-39.9167,66,10,20.74
kalmunai,AU,1627325167,71.67,-24.8667,113.6333,84,90,13.8
kalmunai,US,1627325167,49.15,64.5011,-165.4064,100,90,9.22
kalmunai,PF,1627325167,73.76,-23.1203,-134.9692,75,100,18.16
kalmunai,ZA,1627325168,59.2,-34.4187,19.2345,68,91,4.0
kalmunai,JP,1627325168,72.28,35.7333,140.8333,91,100,30.69
kalmunai,RU,1627325169,56.43,71.9667,102.5,73,42,13.69
kalmunai,US,1627325169,92.01,25.9726,-81.729,65,40,1.99
kalmunai,US,1627325169,96.75,36.0652,-119.0168,20,1,5.75
kalmunai,RU,1627325170,51.75,63.05,179.3167,95,100,5.41
kalmunai,PT,1627325170,75.7,32.6667,-17.1,79,0,4.47
kalmunai,GB,1627325113,73.45,53.4106,-2.9779,74,0,3.0
kalmunai,MV,1627325170,81.09,-0.6,73.0833,78,100,8.41
kalmunai,GF,1627325171,85.08,4.9333,-52.3333,78,75,5.01
kalmunai,NZ,1627325171,48.79,-45.8742,170.5036,65,100,11.99
kalmunai,AU,1627325171,65.12,-28.7667,114.6,68,75,26.46
kalmunai,CN,1627325171,66.13,39.8161,109.9776,60,0,6.51
kalmunai,NC,1627325172,69.8,-20.2333,164.0167,70,100,10.13
kalmunai,BF,1627325172,96.19,14.1022,-1.6306,36,80,8.57
kalmunai,FO,1627325173,52.72,62.2266,-6.589,99,100,9.48
kalmunai,PG,1627325173,81.19,-2.5744,150.7967,74,27,6.29
kalmunai,TO,1627325173,71.76,-21.2,-175.2,100,75,0.0
kalmunai,MG,1627325174,61.56,-23.35,47.6,89,13,7.34
kalmunai,KZ,1627324876,67.82,47.9714,80.4392,71,89,23.73
kalmunai,BR,1627325174,80.56,-22.9661,-42.0278,61,0,19.57
kalmunai,CA,1627325174,67.84,54.7682,-101.865,60,75,5.75
kalmunai,RU,1627325175,66.09,53.6039,91.3903,94,53,4.47
kalmunai,IS,1627325175,50.99,63.4427,-20.2734,87,75,6.91
kalmunai,BB,1627325175,86.61,13.2167,-59.5167,70,40,16.11
kalmunai,RU,1627325176,41.77,67.45,153.6833,76,88,11.34
kalmunai,BO,1627324887,60.78,-16.5,-68.15,21,20,14.97
kalmunai,ZA,1627325176,61.29,-34.5322,20.0403,44,100,5.75
kalmunai,CA,1627325176,66.56,50.2334,-63.5986,88,90,6.91
kalmunai,CA,1627325177,39.43,70.4692,-68.5914,93,90,10.36
kalmunai,MA,1627325177,72.23,29.5833,-9.5,64,2,7.16
kalmunai,AU,1627325178,44.44,-25.2406,130.9889,45,17,3.44
kalmunai,AR,1627325067,54.97,-33.295,-66.3356,39,1,12.15
kalmunai,RU,1627325178,71.49,59.7035,30.7861,64,14,1.39
kalmunai,US,1627325178,54.93,57.79,-152.4072,81,21,2.95
kalmunai,AR,1627324967,48.06,-45.8667,-67.5,43,0,20.71
kalmunai,US,1627325179,78.1,37.7799,-121.978,56,1,1.99
kalmunai,CA,1627325107,66.36,55.7435,-97.8558,32,20,3.44
kalmunai,ZA,1627325135,61.21,-33.9258,18.4232,70,0,10.36
kalmunai,KI,1627325179,82.8,3.0707,172.7902,73,100,7.31
kalmunai,CA,1627325179,46.4,69.4541,-133.0374,87,90,6.91
kalmunai,MX,1627325180,76.19,21.4667,-100.8667,33,3,9.62
kalmunai,DO,1627325180,89.38,18.4616,-69.2972,66,100,15.37
kalmunai,ES,1627325180,75.94,43.5692,-7.2544,77,9,2.98
kalmunai,RU,1627325181,73.29,44.4256,39.5319,68,61,3.56
kalmunai,CA,1627325104,71.58,60.8156,-115.7999,53,20,1.14
kalmunai,CL,1627325181,61.97,-25.4,-70.4833,67,12,6.73
kalmunai,SB,1627325182,75.65,-8.7676,160.7034,90,100,6.64
kalmunai,SE,1627325182,76.93,59.514,15.9926,61,100,5.03
kalmunai,AR,1627324961,37.02,-54.8,-68.3,93,75,8.05
kalmunai,CA,1627324934,69.94,51.1494,-100.0502,68,40,3.44
kalmunai,US,1627324989,77.83,37.3394,-121.895,62,90,6.91
kalmunai,PG,1627325183,81.68,-2.0226,147.2712,77,56,3.8
kalmunai,BR,1627325183,75.04,-17.7125,-39.2481,69,5,7.74
kalmunai,NO,1627325183,46.45,70.9457,27.3465,81,0,3.47
kalmunai,IS,1627325184,57.11,66.0449,-17.3389,67,95,9.69
kalmunai,US,1627325184,88.72,36.4337,-99.3904,45,40,11.5
kalmunai,PF,1627325184,78.4,-16.4833,-151.75,76,93,14.32
kalmunai,RU,1627325185,46.35,71.9167,114.0833,86,50,2.64
kalmunai,EC,1627325185,78.76,-0.7393,-90.3518,81,31,8.01
kalmunai,IL,1627325185,100.24,29.5581,34.9482,27,0,13.8
kalmunai,NE,1627325186,94.06,14.7308,0.9174,39,49,5.35
kalmunai,PF,1627325186,75.0,-22.4333,-151.3333,83,85,12.57
kalmunai,PH,1627325186,81.21,16.2923,119.8062,82,100,19.53
kalmunai,MU,1627325186,66.49,-20.4081,57.7,100,75,10.36
kalmunai,US,1627325187,73.63,35.1473,-107.8514,53,75,0.0
kalmunai,CL,1627325187,42.91,-53.15,-70.9167,75,0,18.41
kalmunai,VE,1627325187,78.98,7.7669,-72.225,72,67,6.53
kalmunai,CL,1627325188,44.55,-45.5752,-72.0662,57,20,5.75
kalmunai,HU,1627325188,83.19,47.1425,16.5815,47,95,12.57
kalmunai,RU,1627325188,49.93,56.8944,74.371,86,1,6.13
kalmunai,MX,1627325112,98.87,27.2333,-100.15,26,55,12.64
kalmunai,JP,1627325189,78.08,34.6851,135.8049,94,50,4.7
kalmunai,ID,1627325189,73.49,-0.3167,102.35,82,1,1.88
kalmunai,MX,1627325168,94.32,21.2833,-88.9333,44,98,7.4
kalmunai,RU,1627325190,37.96,73.5069,80.5464,100,100,8.59
kalmunai,PW,1627325190,83.66,7.0419,134.2556,80,100,15.23
kalmunai,CV,1627325190,82.94,14.9215,-23.5087,61,75,14.97
kalmunai,CL,1627325191,47.73,-41.8697,-73.8203,61,73,9.1
kalmunai,RO,1627325191,70.72,46.4333,26.4,75,69,3.13
kalmunai,US,1627325191,74.25,19.7297,-155.09,94,90,5.75
kalmunai,CR,1627325192,89.15,10.1483,-85.452,69,100,2.19
kalmunai,SA,1627325192,68.52,18.3851,42.4509,72,43,3.69
kalmunai,US,1627325192,90.19,41.3712,-73.414,54,1,1.01
kalmunai,HN,1627325192,87.8,16.35,-86.4333,79,20,5.01
kalmunai,US,1627325028,86.61,42.6001,-73.9662,51,0,3.0
kalmunai,CL,1627325193,49.77,-37.6167,-73.65,63,11,17.72
kalmunai,VU,1627325193,71.24,-19.55,169.2667,74,96,14.16
kalmunai,RU,1627325194,48.27,63.9061,38.1404,68,10,4.54
kalmunai,NZ,1627325194,41.81,-46.6,168.3333,82,70,17.63
kalmunai,AU,1627325194,53.31,-31.95,141.4333,47,11,8.05
kalmunai,MX,1627325168,91.8,19.9333,-105.25,56,92,6.91
kalmunai,PF,1627325195,78.44,-16.5167,-151.75,76,92,14.38
kalmunai,ZA,1627325195,64.51,-33.5906,26.891,35,100,10.02
kalmunai,BR,1627325195,63.36,-30.1811,-50.2056,91,100,10.71
kalmunai,CA,1627324948,70.32,62.456,-114.3525,53,75,11.5
kalmunai,NE,1627325196,95.22,18.6853,12.9164,33,96,7.9
kalmunai,BR,1627325196,84.79,-15.9486,-44.8644,20,6,6.31
kalmunai,US,1627325107,77.88,37.4636,-122.4286,72,75,1.99
kalmunai,AU,1627325001,62.15,-23.7,133.8833,22,8,10.36
kalmunai,GR,1627325196,69.93,41.5833,26.5333,45,0,6.17
kalmunai,RU,1627325197,55.62,56.9064,118.2631,75,0,0.38
kalmunai,GM,1627325197,85.46,13.35,-15.75,61,100,10.16
kalmunai,RU,1627325197,46.65,63.4564,48.8989,75,18,8.97
kalmunai,ZA,1627325198,59.05,-33.0117,17.9442,77,41,6.82
kalmunai,SO,1627325198,78.01,9.4942,50.8122,75,2,27.45
kalmunai,AO,1627325151,73.4,-8.8368,13.2343,78,20,9.22
kalmunai,JP,1627325199,65.07,42.9744,140.5089,72,58,3.96
kalmunai,US,1627324995,89.82,43.8844,-91.2351,55,65,12.26
kalmunai,OM,1627325199,92.82,22.5667,59.5289,53,79,13.6
kalmunai,US,1627325199,95.09,28.017,-97.5169,38,6,6.73
kalmunai,AO,1627325200,59.59,-14.9172,13.4925,33,5,3.53
kalmunai,US,1627325104,91.44,37.1041,-113.5841,48,1,1.01
kalmunai,MX,1627325001,96.1,22.8909,-109.9124,70,0,7.0
kalmunai,ID,1627325200,69.91,-7.7479,112.0132,90,0,6.08
kalmunai,CA,1627325200,53.6,66.1451,-65.7125,94,75,8.05
kalmunai,AR,1627325201,60.03,-34.6534,-58.6198,34,4,5.01
kalmunai,PE,1627325201,68.18,-11.0964,-77.6139,73,30,11.25
kalmunai,BR,1627325193,57.31,-32.035,-52.0986,97,100,10.71
kalmunai,MG,1627325201,70.77,-14.2667,50.1667,78,100,13.58
kalmunai,BR,1627325202,85.91,-2.9022,-40.8411,61,28,16.35
kalmunai,VN,1627325202,84.16,11.9214,109.1591,70,20,9.22
kalmunai,US,1627325104,91.54,45.0205,-93.218,51,1,13.8
kalmunai,GH,1627325203,76.75,4.8699,-2.2405,75,91,8.52
kalmunai,LY,1627325203,77.22,32.767,22.6367,74,0,9.91
kalmunai,CN,1627325203,81.55,43.801,87.6005,21,0,8.95
kalmunai,ID,1627325204,73.54,-3.6954,128.1814,94,20,1.14
kalmunai,SD,1627325204,78.42,14.2,24.6667,57,100,10.94
kalmunai,CV,1627325204,75.88,14.8961,-24.4956,80,12,10.4
kalmunai,PH,1627325205,78.94,10.9995,122.6711,86,100,11.27
kalmunai,RU,1627325205,36.43,69.7008,170.3133,88,96,11.9
kalmunai,AF,1627325205,94.21,36.4141,64.9053,22,0,16.31
kalmunai,SO,1627325206,79.3,7.9803,49.8164,67,69,22.46
kalmunai,US,1627325200,95.79,34.2746,-81.6187,37,89,2.59
kalmunai,ID,1627325206,74.21,-3.8004,102.2655,75,0,4.36
kalmunai,RU,1627325206,38.73,71.6872,128.8694,88,100,10.42
kalmunai,FO,1627325207,50.92,62.1564,-7.1664,100,90,0.0
kalmunai,ZA,1627325185,59.94,-33.0153,27.9116,47,0,5.75
kalmunai,GB,1627325207,58.91,60.3964,-1.353,93,75,14.14
kalmunai,GE,1627325207,65.77,41.9563,42.9566,99,86,2.46
kalmunai,NO,1627325208,55.47,67.667,12.6934,86,17,12.48
kalmunai,US,1627325208,91.45,41.7057,-70.2286,72,1,9.22
kalmunai,RU,1627325208,38.7,70.6333,147.9167,82,87,12.24
kalmunai,ZA,1627325209,66.88,-34.0033,24.7314,24,100,14.7
kalmunai,BR,1627325209,83.3,-5.1989,-35.4608,65,1,16.11
kalmunai,GB,1627325209,71.46,51.3813,1.3862,75,11,1.99
kalmunai,UY,1627325210,53.1,-33.6971,-53.4616,78,100,12.66
kalmunai,US,1627325210,93.25,39.7835,-74.9663,59,100,1.01
kalmunai,IN,1627325211,87.39,19.8,85.85,74,100,10.96
kalmunai,RU,1627325211,65.53,61.0106,35.4781,71,10,5.66
kalmunai,CD,1627325212,68.65,-9.2,25.85,33,91,4.76
kalmunai,IR,1627325212,86.47,32.8663,59.2211,16,90,34.52
kalmunai,SE,1627325212,70.72,67.8557,20.2251,49,75,5.75
kalmunai,BR,1627325213,87.6,-0.1303,-67.0892,79,40,4.61
kalmunai,CN,1627325213,87.58,22.2769,113.5678,84,0,8.05
kalmunai,IS,1627325213,53.62,64.2539,-15.2082,76,75,12.66
kalmunai,IN,1627325213,76.42,25.5198,90.2201,93,100,3.22
kalmunai,PH,1627325214,72.64,7.9986,124.2928,88,100,5.01
kalmunai,US,1627325214,86.09,33.1581,-117.3506,87,90,3.0
kalmunai,GB,1627324917,68.56,55.4627,-4.6339,82,75,10.36
kalmunai,RU,1627325214,62.76,56.0283,35.5097,70,5,3.29
kalmunai,BQ,1627324935,89.58,12.15,-68.2667,62,17,17.27
kalmunai,GH,1627325215,79.27,5.3511,-0.6231,81,59,12.19
kalmunai,RU,1627325215,67.62,46.5389,138.3297,97,100,4.59
kalmunai,MG,1627325215,70.39,-13.6833,48.45,76,43,2.26
kalmunai,TL,1627325216,55.11,-8.9266,125.4092,59,5,2.8
kalmunai,NZ,1627325216,47.93,-46.2817,169.8464,70,100,7.74
kalmunai,BR,1627325216,77.5,-15.8631,-38.8828,77,7,5.84
kalmunai,PE,1627325217,64.08,-11.9472,-75.2829,24,7,1.41
kalmunai,AR,1627325217,64.78,-28.4696,-65.7852,54,0,7.0
kalmunai,US,1627324985,68.79,36.6177,-121.9166,88,40,1.99
kalmunai,RU,1627325217,57.4,50.6789,156.125,94,100,8.1
kalmunai,US,1627325218,68.16,43.4065,-124.2243,76,1,11.5
kalmunai,SB,1627325218,76.89,-10.4544,161.9205,86,86,6.15
kalmunai,US,1627325218,95.97,46.4083,-105.8406,13,1,5.75
kalmunai,RE,1627325219,67.64,-21.3393,55.4781,84,75,12.66
kalmunai,CA,1627325219,71.26,50.2001,-66.3821,76,75,5.01
kalmunai,CN,1627325219,86.67,42.8,93.45,18,4,7.74
kalmunai,ML,1627325220,86.56,14.4572,-4.9169,56,100,13.42
kalmunai,IT,1627325220,79.99,39.9256,9.6572,83,0,8.05
kalmunai,MU,1627325220,66.45,-20.3428,57.7575,100,75,10.36
kalmunai,ES,1627325221,67.48,40.6667,-0.6667,47,33,4.63
kalmunai,NZ,1627325221,41.83,-46.1333,167.6833,90,87,4.9
kalmunai,RU,1627325222,66.6,63.2842,118.3319,67,2,3.69
kalmunai,AU,1627325222,57.18,-34.5833,150.8552,68,68,1.01
kalmunai,FR,1627325223,73.18,46.0901,3.4459,81,3,2.68
kalmunai,IS,1627325223,49.21,64.8945,-23.7142,88,100,12.75
kalmunai,UA,1627325223,75.6,46.9697,35.4197,47,0,9.8
kalmunai,MY,1627325224,74.3,2.0167,112.9333,98,100,1.23
kalmunai,RU,1627325224,68.07,49.758,129.523,99,100,5.41
kalmunai,RU,1627325225,39.9,69.3833,178.4167,84,60,4.07
kalmunai,RE,1627325225,67.55,-21.3585,55.7679,80,95,12.37
kalmunai,ID,1627325225,77.85,4.1363,96.1285,87,58,4.76
kalmunai,NO,1627325226,52.25,70.6634,23.6821,87,0,8.05
kalmunai,PT,1627325226,77.4,38.5167,-28.7,65,20,12.66
kalmunai,BR,1627325226,81.32,-2.8731,-67.8022,77,100,3.6
kalmunai,AR,1627325227,48.04,-38.5473,-58.7368,54,50,22.53
kalmunai,CL,1627325227,49.33,-40.9167,-73.1667,63,81,5.35
kalmunai,KZ,1627325227,64.58,51.095,54.0814,39,3,7.0
kalmunai,NZ,1627325228,50.16,-35.6167,174.5,81,12,12.8
kalmunai,LK,1627325228,80.94,6.1241,81.1185,89,100,8.05
kalmunai,CA,1627325228,82.31,49.6334,-105.9845,27,0,16.11
kalmunai,RU,1627325229,82.96,47.7764,44.5089,27,92,16.37
kalmunai,CO,1627325229,72.91,3.8801,-77.0312,84,74,5.08
kalmunai,HK,1627325126,87.85,22.2855,114.1577,83,100,1.01
kalmunai,MX,1627325229,87.87,17.9583,-102.2,65,13,5.88
kalmunai,AU,1627325230,69.42,-20.7377,116.8463,69,11,7.67
kalmunai,RU,1627325230,59.52,56.3444,114.8794,67,0,1.03
kalmunai,AR,1627325230,45.7,-43.3002,-65.1023,45,98,30.91
kalmunai,RU,1627325230,42.78,68.75,161.3,66,4,7.94
kalmunai,ID,1627325231,76.66,-8.65,115.2167,88,20,4.61
kalmunai,RU,1627325231,79.54,44.3861,46.5825,54,100,13.6
kalmunai,RU,1627325231,65.84,55.849,32.2697,62,25,4.74
kalmunai,US,1627325014,65.46,64.8569,-147.8028,70,75,5.75
kalmunai,BR,1627325209,84.42,-5.795,-35.2094,61,40,21.85
kalmunai,OM,1627325232,97.38,22.6906,58.5334,32,100,6.62
kalmunai,AF,1627325232,64.54,33.35,64.4167,24,72,10.11
kalmunai,ZM,1627325232,50.88,-10.2621,29.9271,63,63,5.95
kalmunai,AR,1627325233,54.28,-36.3132,-57.6792,38,81,13.02
kalmunai,BR,1627325233,70.84,-24.7911,-50.0119,49,5,7.27
kalmunai,GL,1627325234,55.42,69.2167,-51.1,47,75,14.97
kalmunai,MM,1627325234,78.82,22.1167,95.1333,84,99,12.3
kalmunai,RU,1627325234,64.02,58.0006,102.6619,59,1,3.91
kalmunai,CA,1627325221,81.41,45.9793,-81.9248,54,17,4.59
kalmunai,MX,1627325235,87.33,16.8634,-99.8901,63,92,3.4
kalmunai,MY,1627325235,83.89,5.4112,100.3354,86,20,0.0
kalmunai,RU,1627325235,47.14,65.3667,64.6667,72,90,3.31
kalmunai,ZA,1627325235,36.88,-29.1211,26.214,56,0,0.0
kalmunai,UA,1627325236,78.26,50.1763,30.1043,58,33,6.87
