City,Country,Date,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed
puerto ayora,EC,1627339976,76.96,-0.7393,-90.3518,83,46,7.0
deming,US,1627339976,91.29,32.2687,-107.7586,22,1,8.05
castro,BR,1627339976,58.44,-24.7911,-50.0119,65,4,4.41
xingcheng,CN,1627339977,77.38,40.6167,120.7167,87,96,3.36
kavieng,PG,1627339977,83.66,-2.5744,150.7967,69,42,7.54
ilulissat,GL,1627339977,46.31,69.2167,-51.1,93,100,9.22
college,US,1627339977,71.47,64.8569,-147.8028,49,75,8.05
la brea,HN,1627339978,87.31,15.8,-85.9667,66,20,3.44
nanortalik,GL,1627339964,49.55,60.1432,-45.2371,76,37,4.83
bealanana,MG,1627339978,56.86,-14.55,48.7333,92,99,5.91
gunnedah,AU,1627339978,44.73,-30.9833,150.25,84,16,1.99
busselton,AU,1627339978,50.09,-33.65,115.3333,58,99,33.2
ranfurly,NZ,1627339979,45.64,-45.1333,170.1,87,93,4.47
albany,US,1627339922,82.63,42.6001,-73.9662,52,0,3.0
ormara,PK,1627339979,81.61,25.2088,64.6357,86,99,10.13
tasiilaq,GL,1627339956,37.8,65.6145,-37.6368,89,52,4.07
dikson,RU,1627339980,37.99,73.5069,80.5464,100,100,4.61
kavaratti,IN,1627339980,81.18,10.5669,72.642,80,100,19.22
bredasdorp,ZA,1627339966,58.32,-34.5322,20.0403,47,84,4.61
hithadhoo,MV,1627339980,80.19,-0.6,73.0833,78,96,8.52
rikitea,PF,1627339980,74.35,-23.1203,-134.9692,77,77,18.66
cayenne,GF,1627339981,82.09,4.9333,-52.3333,81,0,4.0
namibe,AO,1627339981,65.91,-15.1961,12.1522,80,0,1.66
grass valley,US,1627339772,94.03,39.2191,-121.0611,17,1,4.0
port elizabeth,ZA,1627339828,70.11,-33.918,25.5701,29,0,8.05
punta arenas,CL,1627339949,41.11,-53.15,-70.9167,81,0,13.8
olafsvik,IS,1627339982,49.86,64.8945,-23.7142,85,100,11.05
oktyabrskoye,RU,1627339982,68.14,43.0645,44.7417,88,84,4.47
nicoya,CR,1627339982,76.55,10.1483,-85.452,88,100,1.66
bathsheba,BB,1627339982,83.01,13.2167,-59.5167,74,40,14.97
chokurdakh,RU,1627339983,43.79,70.6333,147.9167,69,96,12.33
mauguio,FR,1627339983,78.69,43.6181,4.0074,36,0,8.05
ponta do sol,PT,1627339983,74.03,32.6667,-17.1,79,6,7.96
khatanga,RU,1627339984,60.26,71.9667,102.5,65,59,17.38
vaini,TO,1627339929,77.16,-21.2,-175.2,88,75,10.36
mount isa,AU,1627339984,55.17,-20.7333,139.5,50,80,3.44
bluff,NZ,1627339985,46.8,-46.6,168.3333,76,29,19.57
puyang,CN,1627339985,76.3,29.4603,119.8861,98,100,7.96
kutum,SD,1627339980,69.31,14.2,24.6667,82,100,10.8
hilo,US,1627339471,78.53,19.7297,-155.09,86,90,11.5
mataura,NZ,1627339967,46.47,-46.1927,168.8643,89,39,3.98
port alfred,ZA,1627339857,61.5,-33.5906,26.891,33,100,10.25
makakilo city,US,1627339986,82.72,21.3469,-158.0858,61,75,6.91
bandarbeyla,SO,1627339986,77.07,9.4942,50.8122,75,21,25.81
arman,RU,1627339968,60.8,59.7,150.1667,76,89,6.87
batagay-alyta,RU,1627339986,54.43,67.8006,130.4114,76,71,9.19
kosonsoy,UZ,1627339986,77.56,41.2561,71.5508,25,0,6.22
arraial do cabo,BR,1627339987,71.56,-22.9661,-42.0278,78,0,12.66
nagato,JP,1627339987,78.75,34.3833,131.2,78,1,8.37
thompson,CA,1627339907,71.76,55.7435,-97.8558,33,40,11.5
krasnoselkup,RU,1627339987,55.2,65.7,82.4667,96,100,13.49
vila franca do campo,PT,1627339988,70.21,37.7167,-25.4333,88,50,6.6
katsuura,JP,1627339988,76.19,35.1333,140.3,88,89,23.62
new norfolk,AU,1627339988,51.93,-42.7826,147.0587,85,100,1.99
jamestown,US,1627339399,81.09,42.097,-79.2353,44,1,8.05
ushuaia,AR,1627339863,35.26,-54.8,-68.3,75,75,6.91
vostok,RU,1627339989,79.99,46.4856,135.8833,70,74,2.15
sola,VU,1627339989,80.26,-13.8833,167.55,78,29,17.0
vao,NC,1627339989,68.07,-22.6667,167.4833,60,100,16.71
hasaki,JP,1627339989,72.28,35.7333,140.8333,91,100,16.24
outlook,CA,1627339990,82.09,51.5001,-107.0513,31,3,5.5
port blair,IN,1627339990,81.66,11.6667,92.75,85,100,19.08
okhotsk,RU,1627339990,67.8,59.3833,143.3,69,0,7.54
syracuse,IT,1627339991,78.44,37.0881,15.2792,62,0,7.54
richards bay,ZA,1627339991,62.2,-28.783,32.0377,57,31,15.08
los llanos de aridane,ES,1627339991,68.13,28.6585,-17.9182,95,15,15.1
butaritari,KI,1627339905,82.26,3.0707,172.7902,75,78,7.87
tiksi,RU,1627339992,38.75,71.6872,128.8694,87,69,9.89
sao filipe,CV,1627339977,75.18,14.8961,-24.4956,82,24,10.04
biak,ID,1627339992,73.92,-0.9131,122.8766,76,78,5.08
wajir,KE,1627339992,73.69,1.7471,40.0573,64,56,19.64
kapaa,US,1627339966,86.32,22.0752,-159.319,69,40,1.99
yellowknife,CA,1627339956,70.32,62.456,-114.3525,60,75,8.05
santa vitoria do palmar,BR,1627339993,48.74,-33.5189,-53.3681,81,69,10.58
januaria,BR,1627339993,69.3,-15.4833,-44.3667,39,30,2.71
upernavik,GL,1627339993,44.15,72.7868,-56.1549,81,100,4.9
san andres,CO,1627339993,84.22,12.5847,-81.7006,79,75,10.36
jumla,NP,1627339994,64.71,29.2747,82.1838,98,100,1.21
tuatapere,NZ,1627339809,46.81,-46.1333,167.6833,85,74,4.97
tautira,PF,1627339994,84.22,-17.7333,-149.15,74,54,7.87
rawson,AR,1627339995,42.31,-43.3002,-65.1023,64,98,30.67
avarua,CK,1627339995,78.85,-21.2078,-159.775,73,20,8.05
hammerfest,NO,1627339995,48.65,70.6634,23.6821,100,0,0.0
saint-georges,GD,1627339995,82.08,12.0564,-61.7485,83,40,5.75
isetskoye,RU,1627339996,55.98,56.4858,65.3226,64,100,6.51
cidreira,BR,1627339996,62.11,-30.1811,-50.2056,98,100,3.85
kaitangata,NZ,1627339996,45.97,-46.2817,169.8464,80,68,7.92
havoysund,NO,1627339996,49.08,70.9963,24.6622,83,53,8.5
severo-kurilsk,RU,1627339997,59.58,50.6789,156.125,89,100,6.02
east london,ZA,1627339997,63.64,-33.0153,27.9116,26,100,11.9
lebu,CL,1627339997,47.16,-37.6167,-73.65,71,12,16.89
husavik,IS,1627339998,53.51,66.0449,-17.3389,81,77,3.49
anahuac,MX,1627339998,101.21,27.2333,-100.15,22,20,16.42
grand gaube,MU,1627339998,68.4,-20.0064,57.6608,86,37,3.0
nome,US,1627339998,50.16,64.5011,-165.4064,93,90,9.22
coos bay,US,1627339999,95.85,43.3665,-124.2179,77,90,25.32
saskylakh,RU,1627339999,52.61,71.9167,114.0833,71,64,5.61
bayeux,BR,1627339999,77.63,-7.125,-34.9322,83,0,6.91
marseille,FR,1627339999,74.95,43.3333,5.5,50,87,2.19
bilma,NE,1627340000,92.75,18.6853,12.9164,38,99,7.36
kaeo,NZ,1627340000,58.32,-35.1,173.7833,77,33,13.73
saint george,US,1627340000,85.32,37.1041,-113.5841,78,75,9.22
mayya,RU,1627340001,76.32,61.7333,130.2811,57,53,9.08
susanville,US,1627340001,91.09,40.4163,-120.653,21,1,13.0
hobart,AU,1627339968,52.27,-42.8794,147.3294,86,75,3.44
lavrentiya,RU,1627339997,45.66,65.5833,-171.0,98,100,3.62
russell,US,1627340001,94.28,32.3502,-85.1999,69,84,2.73
tabuk,PH,1627340002,79.11,17.4189,121.4443,79,93,2.06
provideniya,RU,1627339923,50.11,64.3833,-173.3,87,90,2.24
saint-philippe,RE,1627339909,65.75,-21.3585,55.7679,79,66,11.88
hurghada,EG,1627340002,89.64,27.2574,33.8129,31,0,10.36
airai,TL,1627339992,60.19,-8.9266,125.4092,52,32,2.77
antofagasta,CL,1627339948,58.28,-23.65,-70.4,86,17,7.54
atuona,PF,1627339948,77.79,-9.8,-139.0333,67,50,23.35
morvi,IN,1627340003,85.05,22.8167,70.8333,87,100,16.71
nikolskoye,RU,1627339977,64.02,59.7035,30.7861,69,10,3.22
baherden,TM,1627340003,88.18,38.4362,57.4316,32,0,4.34
inta,RU,1627340003,44.71,66.0317,60.1659,95,100,6.82
kamina,CD,1627340004,55.42,-8.7386,24.9906,44,98,5.1
zheleznodorozhnyy,RU,1627340004,66.72,55.7503,38.0042,56,100,1.43
martapura,ID,1627340004,73.49,-3.4167,114.85,94,7,1.14
moranbah,AU,1627340005,61.05,-22.0016,148.0466,56,1,10.78
bambous virieux,MU,1627339903,68.25,-20.3428,57.7575,94,75,11.5
torbay,CA,1627340005,61.75,47.6666,-52.7314,79,75,10.36
muros,ES,1627340005,66.83,42.7762,-9.0603,80,53,6.44
praya,CV,1627340005,77.54,14.9215,-23.5087,78,20,8.05
state college,US,1627340006,85.08,40.7934,-77.86,51,41,4.32
necochea,AR,1627340006,43.03,-38.5473,-58.7368,63,59,20.87
soyaux,FR,1627340006,63.19,45.65,0.2,84,0,2.3
ust-nera,RU,1627340007,53.67,64.5667,143.2,92,100,5.84
fortuna,US,1627340007,99.48,40.5982,-124.1573,77,1,16.11
chuy,UY,1627340007,48.18,-33.6971,-53.4616,82,62,9.73
teya,RU,1627340004,66.99,60.3778,92.6267,69,89,3.29
zaozerne,UA,1627340007,72.95,45.1582,33.2787,60,0,12.68
qaanaaq,GL,1627340008,42.08,77.484,-69.3632,80,100,9.95
barrow,US,1627339803,48.22,71.2906,-156.7887,93,90,6.91
hambantota,LK,1627340008,80.04,6.1241,81.1185,82,97,17.56
caloundra,AU,1627340008,65.89,-26.8,153.1333,75,0,2.98
cherskiy,RU,1627339963,52.47,68.75,161.3,51,6,16.69
varhaug,NO,1627340009,65.86,58.6147,5.6457,89,100,11.07
saldanha,ZA,1627340009,55.45,-33.0117,17.9442,83,26,9.55
xiongzhou,CN,1627340009,80.69,25.1167,114.3,78,93,2.91
pokhara,NP,1627340010,72.66,28.2333,83.9833,91,84,1.79
tura,IN,1627340010,75.7,25.5198,90.2201,95,100,3.78
sisimiut,GL,1627340010,59.68,66.9395,-53.6735,62,46,6.96
novyy urgal,RU,1627340010,68.31,51.0736,132.5642,97,100,1.43
lompoc,US,1627340011,77.77,34.6391,-120.4579,76,75,8.05
otjimbingwe,NA,1627340011,58.69,-22.35,16.1333,31,0,6.87
laguna,US,1627340011,100.15,38.421,-121.4238,27,94,1.01
cape town,ZA,1627339798,60.89,-33.9258,18.4232,50,0,1.99
yulara,AU,1627340012,40.84,-25.2406,130.9889,56,22,0.0
san joaquin,US,1627340012,98.78,37.9333,-121.3011,27,1,5.75
acapulco,MX,1627340012,86.22,16.8634,-99.8901,70,94,5.64
